0;219;4784;728;3,2,24,6,19,4,15,14,12,8,17,9,16,18,5,1,21,22,7,10,20,23,13,11,0
1;213;3164;573;16,23,0,8,12,18,13,10,6,3,11,21,14,20,22,2,4,17,15,1,7,19,24,9,5
2;294;8974;1462;9,14,20,17,15,8,10,23,2,16,3,6,4,24,12,7,21,22,1,13,5,11,0,18,19
3;201;3963;651;4,22,18,11,0,5,15,2,13,24,21,1,9,17,7,12,8,6,19,14,23,16,3,10,20
4;295;14308;2090;13,14,8,19,20,23,16,18,10,11,3,6,0,1,12,15,17,2,7,22,5,21,4,9,24
5;211;2981;560;2,17,12,13,0,23,16,5,11,24,4,8,9,15,6,1,22,19,7,3,10,14,21,18,20
6;231;7896;1146;4,17,3,13,0,8,14,9,11,23,2,6,16,24,12,1,20,19,7,5,15,10,18,21,22
7;188;3126;542;2,9,18,5,15,16,23,4,12,6,24,14,8,17,3,1,20,19,7,13,22,21,10,11,0
8;226;4655;881;8,14,24,12,15,4,19,18,2,17,3,9,16,6,5,1,21,22,7,10,20,23,13,11,0
9;248;6339;1122;23,24,4,10,20,13,5,21,15,11,9,17,0,22,2,1,18,19,7,3,16,14,6,8,12
10;214;4931;999;0,4,14,24,5,10,3,17,9,23,16,19,11,13,20,12,8,6,7,15,18,2,21,22,1
11;207;6370;1187;4,9,0,16,20,12,13,2,10,6,24,11,8,17,23,1,22,19,7,3,15,14,21,18,5
12;247;5497;984;18,3,24,14,20,8,9,21,10,23,5,12,16,22,6,1,15,19,7,17,11,4,2,13,0
13;197;3583;723;20,10,3,19,7,18,14,23,1,0,11,21,13,5,22,6,16,8,12,9,15,24,4,17,2
14;207;4074;643;12,6,4,23,20,13,16,9,10,11,8,17,0,24,2,1,22,19,7,3,15,14,21,18,5
15;340;24977;3383;18,3,17,21,22,16,4,13,12,6,14,2,8,0,15,5,24,9,19,23,7,11,10,20,1
16;225;4628;728;19,17,10,9,5,0,20,2,24,1,4,23,13,15,11,22,18,21,7,3,16,14,6,8,12
17;266;9502;1365;18,21,9,19,7,8,24,16,1,6,22,5,3,14,12,15,17,2,20,13,23,4,0,11,10
18;210;5801;817;24,14,0,2,15,23,13,5,20,17,16,11,4,9,10,1,22,19,7,21,18,3,8,6,12
19;216;4323;645;18,21,15,13,0,8,2,9,11,23,22,12,24,5,6,1,20,19,7,4,16,17,3,14,10
20;227;4262;601;11,23,10,24,5,2,14,13,9,4,16,20,17,0,15,7,21,22,1,18,19,3,8,6,12
21;204;3281;557;6,3,18,19,7,5,0,8,1,24,13,21,9,12,22,2,4,17,15,14,23,11,16,10,20
22;210;4162;703;15,4,14,24,5,12,23,17,9,6,16,3,8,2,19,1,21,22,7,11,10,13,0,18,20
23;211;4256;737;8,3,19,17,15,24,18,12,2,4,14,5,16,6,9,1,10,20,7,23,22,21,13,11,0
24;219;4532;945;23,11,5,10,20,4,13,14,15,2,0,9,17,16,24,12,8,6,7,18,19,3,21,22,1
25;195;4142;844;11,3,20,12,6,4,10,13,8,16,14,2,23,0,17,1,22,19,7,21,18,15,24,9,5
26;245;4355;935;10,23,13,8,12,4,0,14,6,20,11,2,16,3,17,7,21,22,1,9,15,24,18,5,19
27;241;5690;1195;14,4,12,0,20,16,2,3,10,11,17,8,23,13,6,1,22,19,7,9,15,24,21,18,5
28;206;3954;687;11,10,12,20,15,16,14,13,2,17,23,6,4,0,8,1,22,19,7,21,18,3,24,9,5
29;236;5154;731;0,11,5,10,20,4,23,21,15,2,13,9,17,22,24,1,18,19,7,3,16,14,6,8,12
30;222;6282;888;5,24,2,8,12,16,15,23,6,3,9,17,14,18,4,1,20,19,7,11,0,13,10,21,22
31;319;9644;1407;19,9,23,8,12,14,11,4,6,3,24,10,16,5,20,1,21,22,7,13,18,0,17,2,15
32;231;5499;1040;10,16,18,23,0,12,3,13,11,6,14,21,8,20,22,5,24,9,7,17,19,4,2,15,1
33;220;4195;827;3,14,5,8,12,17,24,10,6,16,9,15,4,20,2,7,21,22,1,11,19,23,13,0,18
34;209;2774;658;23,24,15,13,0,17,5,14,11,10,9,2,4,16,20,7,21,22,1,18,19,3,8,6,12
35;230;5573;1237;20,11,22,24,5,17,21,23,9,4,0,2,13,10,15,1,18,19,7,3,16,14,6,8,12
36;235;4930;1261;1,18,23,21,7,11,16,3,22,0,14,10,13,19,20,5,9,24,15,17,12,4,2,8,6
