0;8;79;7;5,7,6,4,1,9,8,0,3,2
1;19;202;15;8,0,7,5,9,4,3,2,6,1
2;13;150;12;6,9,5,4,8,3,1,0,2,7
3;11;86;6;5,2,4,6,1,9,8,0,3,7
4;5;61;4;0,3,7,6,9,1,2,8,5,4
5;6;110;7;2,8,7,4,9,1,6,3,0,5
6;8;134;13;0,8,4,5,1,9,3,6,2,7
7;12;153;11;8,9,4,1,2,7,6,5,3,0
8;9;173;16;8,9,3,4,2,0,7,5,6,1
9;10;148;11;6,1,8,5,0,3,2,9,4,7
10;7;143;10;9,8,4,7,2,0,1,5,3,6
11;14;152;11;3,1,4,5,2,6,0,9,8,7
12;9;146;10;0,8,4,5,1,9,3,6,2,7
13;11;78;5;7,9,8,5,0,3,4,1,2,6
14;13;178;12;6,9,5,4,8,3,1,0,2,7
15;5;76;5;0,7,4,1,6,9,2,8,3,5
16;9;187;17;0,8,4,5,1,9,3,6,2,7
17;16;147;10;5,1,3,7,2,0,8,9,4,6
18;9;165;11;2,9,7,3,5,8,0,1,6,4
19;6;57;4;3,9,7,1,6,2,0,8,5,4
20;6;120;8;2,8,3,4,9,7,0,6,1,5
21;16;150;10;1,9,2,4,3,0,7,6,5,8
22;13;198;15;1,6,5,4,0,3,9,8,7,2
23;8;85;6;3,2,5,7,9,1,0,6,8,4
24;11;113;13;6,9,5,4,7,1,8,0,2,3
25;10;125;8;5,2,4,6,1,9,8,0,3,7
26;11;109;7;3,0,6,4,9,8,5,2,7,1
27;12;155;11;0,3,1,5,8,6,2,9,4,7
28;12;134;9;5,1,3,7,2,0,8,9,4,6
29;11;206;14;2,9,0,5,8,3,6,1,7,4
30;5;117;8;8,0,7,5,9,4,3,2,6,1
31;11;142;14;2,9,7,3,5,8,0,1,6,4
32;9;89;8;8,0,7,4,1,9,6,3,5,2
33;13;133;13;4,0,7,1,6,2,9,3,5,8
34;13;236;24;6,9,5,4,8,3,1,0,2,7
35;8;102;10;2,8,7,4,9,1,6,3,0,5
36;12;117;11;0,9,5,7,8,3,4,1,2,6
37;8;99;10;0,9,5,4,7,8,3,6,2,1
38;11;126;15;2,0,3,4,9,8,7,5,6,1
39;11;141;14;1,0,5,7,8,3,2,4,9,6
40;11;87;10;5,1,3,7,2,0,8,9,4,6
41;12;166;16;6,1,8,5,0,3,2,9,4,7
42;10;133;14;1,9,5,2,3,0,6,4,7,8
43;12;167;18;9,7,6,4,0,2,1,8,3,5
44;11;125;13;3,9,7,5,6,2,8,1,0,4
45;5;74;7;6,0,4,5,3,9,8,2,1,7
46;18;221;22;2,8,7,4,9,1,6,3,0,5
47;13;137;10;9,8,4,6,0,2,5,7,1,3
48;13;204;14;6,9,4,5,3,0,8,1,2,7
49;6;75;5;8,0,6,4,9,1,5,2,7,3
50;9;86;7;1,3,6,4,0,2,9,8,7,5
